System,Name,Year,ROM Name,Players,Joystick Input,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Gradius 4: Fukkatsu,1998,ssf2xj,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Grand Prix Star,1992,ssideki3,1,8 way,pedal / paddle,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Gratia: Second Earth,1996,ssprint,2,analog,none,0,HORIZONTAL,Atari Games / Atari,No,No,Yes
arcade,Gravitar,1982,ssridersabd,1,8 way,none,2,HORIZONTAL,Konami,No,No,Yes
arcade,Great 1000 Miles Rally: U.S.A Version!,1994,sstriker,2,8 way,paddle / dial,3,VERTICAL,Raizing,No,Yes,Maybe
arcade,Green Beret,1985,stargate,2,4 way,none,6,HORIZONTAL,Williams / Vid Kidz,Yes,Yes,Maybe
arcade,Grid Seeker: Project Storm Hammer,1992,starwars,4,analog,dial,4,HORIZONTAL,Atari / Midway,No,No,Yes
arcade,Grind Stormer,1992,stmblade,2,8 way,none,3,VERTICAL,Visco,No,No,Yes
arcade,Grobda,1984,streetsm,2,8 way,none,3,HORIZONTAL,SNK,No,No,Yes
arcade,Ground Effects,1992,strider,1,8 way,stick,3,HORIZONTAL,Capcom,No,No,Yes
arcade,Growl,1990,strkforc,4,8 way,none,3,HORIZONTAL,Midway,No,No,Yes
arcade,Guardian Force,1998,stunrun,4,analog,none,2,HORIZONTAL,Atari Games / Atari,No,No,Yes
arcade,Guardian Storm,1998,superman,2,8 way,none,2,HORIZONTAL,Taito,No,No,Yes
arcade,Guardians,1995,superpac,2,4 way,none,1,VERTICAL,Namco,No,No,Yes
arcade,Guardians of the 'Hood,1992,svc,3,8 way,none,4,HORIZONTAL NEOGEO,Playmore / Capcom,No,No,Yes
arcade,Guerrilla War,1987,swimmer,2,8 way,positional,1,HORIZONTAL,Tehkan,Yes,Yes,Maybe
arcade,Gulf Storm,1991,tapper,2,4 way,none,1,HORIZONTAL,Bally Midway,No,No,Yes
arcade,Gulf War 2,1991,teddybb,2,8 way,none,2,HORIZONTAL,SEGA,No,No,Yes
arcade,Gun & Frontier,1990,tehkanwc,2,trackball,none,1,HORIZONTAL,Tehkan,No,No,Yes
arcade,Gun Fight,1975,tekken,2,8 way,positional,4,HORIZONTAL,Namco,No,No,Yes
arcade,Gun Force 2,1994,tekken2,2,8 way,none,4,HORIZONTAL,Namco,No,Yes,Maybe
arcade,Gun Master,1994,tekken3,2,8 way,none,6,HORIZONTAL,Namco,No,No,Yes
arcade,Gun.Smoke,1985,tektagt,2,8 way,none,6,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,GunNail,1993,tempest,2,analog,none,2,VERTICAL,Atari,No,No,Yes
arcade,Gunbarich,2001,tengai,2,8 way,none,3,HORIZONTAL,Psikyo,No,No,Yes
